,Date,Open,High,Low,Close,Adj Close,Volume
178,22-Jun-21,618.25,628.57,615.50,623.71,623.71,19158900.00
179,21-Jun-21,624.48,631.39,608.88,620.83,620.83,24812700.00
180,18-Jun-21,613.37,628.35,611.80,623.31,623.31,24560900.00
181,17-Jun-21,601.89,621.47,601.34,616.60,616.60,22701400.00
182,16-Jun-21,597.54,608.50,593.50,604.87,604.87,22144100.00
183,15-Jun-21,616.69,616.79,598.23,599.36,599.36,17764100.00
184,14-Jun-21,612.23,625.49,609.18,617.69,617.69,20424000.00
185,11-Jun-21,610.23,612.56,601.52,609.89,609.89,16205300.00
186,10-Jun-21,603.88,616.59,600.50,610.12,610.12,23919600.00
187,9-Jun-21,602.17,611.79,597.63,598.78,598.78,16584600.00
188,8-Jun-21,623.01,623.09,595.50,603.59,603.59,26053400.00
189,7-Jun-21,591.83,610.00,582.88,605.13,605.13,22543700.00
190,4-Jun-21,579.71,600.61,577.20,599.05,599.05,24036900.00
191,3-Jun-21,601.80,604.55,571.22,572.84,572.84,30111900.00
192,2-Jun-21,620.13,623.36,599.14,605.12,605.12,23302800.00
193,1-Jun-21,627.80,633.80,620.55,623.90,623.90,18084900.00
194,28-May-21,628.50,635.59,622.38,625.22,625.22,22737000.00
195,27-May-21,620.24,631.13,616.21,630.85,630.85,26370600.00
196,26-May-21,607.56,626.17,601.50,619.13,619.13,28639300.00
197,25-May-21,607.31,613.99,595.71,604.69,604.69,28005900.00
198,24-May-21,581.60,614.48,573.65,606.44,606.44,34558100.00
199,21-May-21,596.11,596.68,580.00,580.88,580.88,26030600.00
200,20-May-21,575.00,588.85,571.07,586.78,586.78,30821100.00
201,19-May-21,552.55,566.21,546.98,563.46,563.46,39578400.00
202,18-May-21,568.00,596.25,563.38,577.87,577.87,36830600.00
203,17-May-21,575.55,589.73,561.20,576.83,576.83,32390400.00
204,14-May-21,583.41,592.87,570.46,589.74,589.74,33370900.00
205,13-May-21,601.54,606.46,559.65,571.69,571.69,44184900.00
206,12-May-21,602.49,620.41,586.77,589.89,589.89,33823600.00
207,11-May-21,599.24,627.10,595.60,617.20,617.20,46503900.00
208,10-May-21,664.90,665.05,627.61,629.04,629.04,31392400.00
209,7-May-21,665.80,690.00,660.22,672.37,672.37,23469200.00
210,6-May-21,680.76,681.02,650.00,663.54,663.54,27784600.00
211,5-May-21,681.06,685.30,667.34,670.94,670.94,21901900.00
212,4-May-21,678.94,683.45,657.70,673.60,673.60,29739300.00
213,3-May-21,703.80,706.00,680.50,684.90,684.90,27043100.00
214,30-Apr-21,667.59,715.47,666.14,709.44,709.44,40758700.00
215,29-Apr-21,699.51,702.25,668.50,677.00,677.00,28845400.00
216,28-Apr-21,696.41,708.50,693.60,694.40,694.40,22271000.00
217,27-Apr-21,717.96,724.00,703.35,704.74,704.74,29437000.00
218,26-Apr-21,741.00,749.30,732.61,738.20,738.20,31038500.00
219,23-Apr-21,719.80,737.36,715.46,729.40,729.40,28370000.00
220,22-Apr-21,741.50,753.77,718.04,719.69,719.69,35590300.00
221,21-Apr-21,704.77,744.84,698.00,744.12,744.12,31215500.00
222,20-Apr-21,717.42,737.25,710.69,718.99,718.99,35609000.00
223,19-Apr-21,719.60,725.40,691.80,714.63,714.63,39686200.00
224,16-Apr-21,728.65,749.41,724.60,739.78,739.78,27979500.00
225,15-Apr-21,743.10,743.69,721.31,738.85,738.85,27848900.00
226,14-Apr-21,770.70,780.79,728.03,732.23,732.23,49017400.00
227,13-Apr-21,712.70,763.00,710.66,762.32,762.32,44652800.00
228,12-Apr-21,685.70,704.80,682.09,701.98,701.98,29135700.00
229,9-Apr-21,677.77,680.97,669.43,677.02,677.02,21437100.00
230,8-Apr-21,677.38,689.55,671.65,683.80,683.80,23924300.00
231,7-Apr-21,687.00,691.38,667.84,670.97,670.97,26309400.00
232,6-Apr-21,690.30,696.55,681.37,691.62,691.62,28271800.00
233,5-Apr-21,707.71,708.16,684.70,691.05,691.05,41842800.00
234,1-Apr-21,688.37,692.42,659.42,661.75,661.75,35298400.00
235,31-Mar-21,646.62,672.00,641.11,667.93,667.93,33337300.00
236,30-Mar-21,601.75,637.66,591.01,635.62,635.62,39432400.00
237,29-Mar-21,615.64,616.48,596.02,611.29,611.29,28637000.00
238,26-Mar-21,641.87,643.82,599.89,618.71,618.71,33852800.00
239,25-Mar-21,613.00,645.50,609.50,640.39,640.39,39224900.00
240,24-Mar-21,667.91,668.02,630.11,630.27,630.27,33795200.00
241,23-Mar-21,675.77,677.80,657.51,662.16,662.16,30491900.00
242,22-Mar-21,684.59,699.62,668.75,670.00,670.00,39512200.00
243,19-Mar-21,646.60,657.23,624.62,654.87,654.87,42894000.00
244,18-Mar-21,684.29,689.23,652.00,653.16,653.16,33224800.00
245,17-Mar-21,656.87,703.73,651.01,701.81,701.81,40372500.00
246,16-Mar-21,703.35,707.92,671.00,676.88,676.88,32195700.00
247,15-Mar-21,694.09,713.18,684.04,707.94,707.94,29335600.00
248,12-Mar-21,670.00,694.88,666.14,693.73,693.73,33583800.00
249,11-Mar-21,699.40,702.50,677.18,699.60,699.60,36253900.00
250,10-Mar-21,700.30,717.85,655.06,668.06,668.06,60605700.00
251,9-Mar-21,608.18,678.09,595.21,673.58,673.58,67523300.00
252,8-Mar-21,600.55,620.13,558.79,563.00,563.00,51787000.00
253,5-Mar-21,626.06,627.84,539.49,597.95,597.95,89396500.00
